"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"ZNF608",1.48861920952421e-22,0.986105993349174,0.294,0.114,2.94478652028079e-18,"ZNF608"
"NPY",1.52217799242826e-22,4.55993066302822,0.121,0.013,3.01117250462157e-18,"NPY"
"TCTN3",1.52837273466177e-22,1.17776092561495,0.303,0.124,3.02342694370791e-18,"TCTN3"
"USP22",1.593641775117e-22,-0.965202736591515,0.393,0.537,3.15254215953645e-18,"USP22"
"GGCT",1.623559520149e-22,0.966248284760477,0.514,0.324,3.21172544275874e-18,"GGCT"
"ATXN10",1.72941461400488e-22,-0.584931688643179,0.705,0.784,3.42112798942446e-18,"ATXN10"
"TROAP",1.77720006773597e-22,4.66955999589183,0.1,0.003,3.5156571739953e-18,"TROAP"
"PLAT",1.79291056551421e-22,2.86588712945554,0.137,0.02,3.54673568070022e-18,"PLAT"
"CFL2",1.85173988789405e-22,0.901308499392892,0.432,0.221,3.663111846232e-18,"CFL2"
"HIVEP2",1.86112433065428e-22,-3.20039487741137,0.024,0.127,3.68167615090029e-18,"HIVEP2"
"APCDD1",1.88659335107722e-22,4.00630834332938,0.113,0.009,3.73205896710096e-18,"APCDD1"
"ANKRD36",1.89109972891301e-22,-1.46083581130553,0.181,0.338,3.74097348373572e-18,"ANKRD36"
"KLC2",1.91923312556815e-22,-1.53916417570072,0.142,0.295,3.7966269689989e-18,"KLC2"
"UG0898H09",2.01813911416885e-22,1.76131052322724,0.201,0.057,3.99228279564882e-18,"UG0898H09"
"ITM2C",2.03496992500591e-22,0.890208600358318,0.573,0.373,4.02557750564668e-18,"ITM2C"
"TSPAN3",2.07974489233662e-22,0.617624693101079,0.795,0.641,4.11415134602031e-18,"TSPAN3"
"DSCC1",2.16970521704215e-22,1.92542343785807,0.164,0.035,4.29211086035279e-18,"DSCC1"
"EEF1A2",2.1981526499465e-22,-1.81554999965503,0.085,0.225,4.34838557212417e-18,"EEF1A2"
"STXBP3",2.26258848780334e-22,1.55033642205576,0.206,0.059,4.47585254657257e-18,"STXBP3"
"ATP1B2",2.30360566743187e-22,1.35044616689467,0.304,0.13,4.55699273131373e-18,"ATP1B2"
"RP11-796E2.4",2.46689776045579e-22,2.89426881779847,0.141,0.023,4.88001714973365e-18,"RP11-796E2.4"
"NUBP1",2.48873540920832e-22,1.33056194371038,0.24,0.08,4.9232163864959e-18,"NUBP1"
"PDLIM1",2.49942084658414e-22,4.4286005321552,0.104,0.005,4.94435431871275e-18,"PDLIM1"
"PRRC2B",2.62937285207655e-22,-0.989100842331117,0.367,0.512,5.20142537597784e-18,"PRRC2B"
"TSC22D1",2.63911964151912e-22,-0.530465837277285,0.871,0.891,5.22070647485313e-18,"TSC22D1"
"NENF",2.73485956084137e-22,0.933022161453584,0.46,0.261,5.41009918325639e-18,"NENF"
"CADM4",2.77496795239551e-22,-0.924848210867523,0.432,0.568,5.4894416034288e-18,"CADM4"
"FAM155A",2.96789563741055e-22,-3.03156294300931,0.025,0.128,5.87109114992555e-18,"FAM155A"
"MASTL",3.20520775348948e-22,2.91179255812199,0.135,0.02,6.34054197795289e-18,"MASTL"
"CHPT1",3.34584249650832e-22,0.927031730927463,0.367,0.171,6.61874562659276e-18,"CHPT1"
"PPM1L",3.53074299909148e-22,-1.83312106099234,0.099,0.242,6.98451580080276e-18,"PPM1L"
"NDUFS5",3.7020858612517e-22,-0.36149511927631,0.935,0.946,7.32346625072812e-18,"NDUFS5"
"DHRS4L2",3.8349356483391e-22,2.38090704327388,0.131,0.017,7.5862696995444e-18,"DHRS4L2"
"TMEM237",3.90414821257516e-22,1.06146760209045,0.306,0.124,7.72318599411618e-18,"TMEM237"
"ABHD8",3.90774129501886e-22,-1.57750766818437,0.122,0.272,7.73029382980631e-18,"ABHD8"
"EID2B",3.95330068832669e-22,-1.7641463542876,0.115,0.261,7.82041942164785e-18,"EID2B"
"IVD",4.03219287718463e-22,1.45938567700507,0.235,0.079,7.97648394964663e-18,"IVD"
"CHAF1B",4.03298017034755e-22,2.74026812050548,0.132,0.018,7.97804137298153e-18,"CHAF1B"
"ERBB4",4.04193203575288e-22,3.8466086169377,0.107,0.007,7.99574995312634e-18,"ERBB4"
"SERINC3",4.09178850545488e-22,-1.42119539536211,0.2,0.356,8.09437602149084e-18,"SERINC3"
"GMPS",4.14127486397166e-22,0.848150571799169,0.505,0.302,8.19226993590874e-18,"GMPS"
"SAP30",4.31929451705223e-22,1.49978790984263,0.268,0.105,8.54442841363271e-18,"SAP30"
"MRPL23",4.54370527036706e-22,0.962390537421294,0.37,0.175,8.98835776584011e-18,"MRPL23"
"TAPBP",4.68031083450458e-22,2.68732101618405,0.125,0.015,9.25859089281696e-18,"TAPBP"
"GLI2",4.87303707769365e-22,2.88134663915505,0.127,0.016,9.63984194709358e-18,"GLI2"
"TMEM218",4.92181138413128e-22,1.04965535040017,0.302,0.122,9.7363272800885e-18,"TMEM218"
"CLIP1",5.33522339659229e-22,-1.10620450291632,0.334,0.483,1.05541389231389e-17,"CLIP1"
"FSCN1",5.33948255042587e-22,-0.611462181591706,0.683,0.752,1.05625643812525e-17,"FSCN1"
"PCDHGB6",5.54262548333008e-22,-2.00386593693623,0.058,0.184,1.09644217311236e-17,"PCDHGB6"
"CDC25A",5.81003596015298e-22,3.70528224106657,0.109,0.008,1.14934131363746e-17,"CDC25A"
"HSPB11",5.87909617058623e-22,0.880840537964875,0.486,0.276,1.16300280446537e-17,"HSPB11"
"PBRM1",6.16704669446333e-22,-0.892868392606313,0.417,0.56,1.21996517709874e-17,"PBRM1"
"PNPLA8",6.42159159044884e-22,-0.960294314626284,0.327,0.485,1.27031924842259e-17,"PNPLA8"
"RP11-436D23.1",6.49889197820991e-22,4.29760353281329,0.1,0.004,1.28561081112948e-17,"RP11-436D23.1"
"FDX1",7.04311866870965e-22,1.00905241543168,0.379,0.185,1.39326973504414e-17,"FDX1"
"OLFM3",7.26165317456273e-22,2.78515406844761,0.132,0.019,1.436500230992e-17,"OLFM3"
"PHF19",7.3380123774253e-22,2.385621417963,0.135,0.02,1.45160560850227e-17,"PHF19"
"CCDC90B",7.6170885433416e-22,-0.825778568614548,0.502,0.62,1.50681245564383e-17,"CCDC90B"
"CCDC85B",7.7741128126313e-22,-1.04443561777534,0.343,0.49,1.53787499659472e-17,"CCDC85B"
