"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"DAB1",1.46164204121303e-53,-4.34783036075862,0.028,0.411,2.89142028592761e-49,"DAB1","Neuron"
"NBEA",2.13770243883275e-53,-2.17932121900377,0.201,0.613,4.22880296449895e-49,"NBEA","Neuron"
"CAMK2B",3.18807510713013e-53,-2.96129133910449,0.091,0.495,6.30665017692483e-49,"CAMK2B","Neuron"
"CALD1",4.91183315406073e-53,1.94835733317089,0.63,0.284,9.71658834536295e-49,"CALD1","IP"
"RND3",5.9986404378854e-53,2.24460226411303,0.541,0.185,1.18665105142249e-48,"RND3","IP"
"SARAF",6.6363836284681e-53,-0.844399146831007,0.863,0.967,1.31280940938356e-48,"SARAF","Neuron"
"JUN",1.45602108886154e-52,-1.18506213022912,0.583,0.898,2.88030091798589e-48,"JUN","Neuron"
"TMEM59L",1.74326192494665e-52,-1.52141284327767,0.356,0.743,3.44852073992946e-48,"TMEM59L","Neuron"
"RPL35A",1.7677882680061e-52,0.472691227291331,1,0.993,3.49703875176967e-48,"RPL35A","Not Significant"
"SYT1",2.13469284068964e-52,-0.863440732168486,0.891,0.979,4.22284937745225e-48,"SYT1","Neuron"
"H3F3B",5.74400726902837e-52,0.502670087168903,1,1,1.13627951795919e-47,"H3F3B","IP"
"H3F3A",6.39221686107334e-52,0.467170752054876,1,1,1.26450833945753e-47,"H3F3A","Not Significant"
"TPT1",2.11575923374148e-51,0.591070413666969,0.992,0.987,4.18539491618739e-47,"TPT1","IP"
"RPS16",7.20037048734269e-51,0.534964734171473,1,0.993,1.42437728980613e-46,"RPS16","IP"
"BBX",7.77343941580183e-51,2.17723488478901,0.511,0.169,1.53774178523392e-46,"BBX","IP"
"DYNLL1",9.00541120475941e-51,-0.699633394996853,0.95,0.992,1.78145044452551e-46,"DYNLL1","Neuron"
"TMEM161B-AS1",1.2457435121563e-50,-1.53854858802306,0.429,0.763,2.4643298157476e-46,"TMEM161B-AS1","Neuron"
