"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"ATP6V1G2",5.05897665514037e-60,-2.82291856671594,0.133,0.597,1.00076676191987e-55,"ATP6V1G2","Neuron"
"GNG3",6.98147928474305e-60,-3.06407479704386,0.1,0.572,1.38107623210787e-55,"GNG3","Neuron"
"POU3F4",8.83387183379008e-60,4.16600920232665,0.318,0.021,1.74751652616035e-55,"POU3F4","Progenitor"
"RPS2",1.19429986932843e-59,0.537188532474217,1,0.999,2.36256400150549e-55,"RPS2","Progenitor"
"SNRPE",1.59834131680908e-59,0.988226018216859,0.944,0.821,3.16183879291172e-55,"SNRPE","Progenitor"
"PTTG1",1.97416466870286e-59,4.07772480952691,0.442,0.083,3.90529254762801e-55,"PTTG1","Progenitor"
"SCN3B",2.06241663758899e-59,-4.7533419302144,0.026,0.481,4.07987259247853e-55,"SCN3B","Neuron"
"ENO2",2.21908615781431e-59,-1.71174745852182,0.439,0.787,4.38979623738826e-55,"ENO2","Neuron"
"SCD5",3.14606268364433e-59,-2.39000265256371,0.241,0.667,6.22354120078522e-55,"SCD5","Neuron"
"NDUFA5",4.61411305423187e-59,-1.18675617146037,0.727,0.885,9.12763844388149e-55,"NDUFA5","Neuron"
"CCNB2",7.00633963098267e-59,4.29208153072489,0.299,0.015,1.38599410580099e-54,"CCNB2","Progenitor"
"FEZ1",9.50744703640317e-59,-1.14507401224069,0.717,0.894,1.88076317274127e-54,"FEZ1","Neuron"
"TUBA1B",1.00654529781744e-58,1.95873996424127,0.96,0.916,1.99114790814247e-54,"TUBA1B","Progenitor"
"CCNG1",1.62957387874088e-58,1.93823793373387,0.694,0.314,3.2236230469252e-54,"CCNG1","Progenitor"
"JPH4",1.83662062866569e-58,-3.3861968405044,0.096,0.548,3.63320292762647e-54,"JPH4","Neuron"
"FZD10",1.9932157171129e-58,6.3475506643845,0.259,0.004,3.94297933159275e-54,"FZD10","Progenitor"
"ARPC2",2.76627631668567e-58,-1.24212475354624,0.692,0.894,5.47224780966759e-54,"ARPC2","Neuron"
"CTGF",4.95295690170599e-58,4.30872479840817,0.355,0.043,9.79793934295479e-54,"CTGF","Progenitor"
"FTH1",9.24055629857739e-58,-0.640599959795213,0.993,0.999,1.82796684698458e-53,"FTH1","Neuron"
"NPDC1",1.36706393954725e-57,-2.22231259572121,0.266,0.675,2.70432588521238e-53,"NPDC1","Neuron"
"CXADR",1.41959083719243e-57,-1.35523305147837,0.664,0.895,2.80823459413406e-53,"CXADR","Neuron"
"TSPAN13",3.48560343220255e-57,-1.73582837459711,0.416,0.789,6.89522070958309e-53,"TSPAN13","Neuron"
"DACH1",3.7048900891681e-57,3.74324194468817,0.341,0.036,7.32901357439233e-53,"DACH1","Progenitor"
"MAPKAPK3",4.31679750418982e-57,4.10182894330941,0.313,0.023,8.53948882278831e-53,"MAPKAPK3","Progenitor"
"LDHB",4.35920610319591e-57,0.654649805764031,0.995,0.981,8.62338151334216e-53,"LDHB","Progenitor"
"KIAA0101",5.56364837340604e-57,4.58191284714695,0.355,0.045,1.10060092122718e-52,"KIAA0101","Progenitor"
"ARG2",1.02169545688951e-56,-4.42435770815258,0.04,0.48,2.02111795281883e-52,"ARG2","Neuron"
"CD63",1.13354856566191e-56,1.33847076545785,0.855,0.6,2.24238577259238e-52,"CD63","Progenitor"
"SERPINH1",1.1500927121165e-56,3.76230847864203,0.315,0.024,2.27511340310885e-52,"SERPINH1","Progenitor"
"FAM57B",2.03122777322506e-56,-2.40099221483455,0.152,0.616,4.01817478099382e-52,"FAM57B","Neuron"
"CTTNBP2",2.06090312321455e-56,-3.41040894552773,0.086,0.532,4.07687855834301e-52,"CTTNBP2","Neuron"
"RPL14",3.19295003112314e-56,0.584215889607503,0.995,0.987,6.3162937515678e-52,"RPL14","Progenitor"
"DLL1",4.18118618759753e-56,3.18714822274447,0.502,0.133,8.27122251630543e-52,"DLL1","Progenitor"
