"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"TMEM243",4.19749374626563e-16,2.41660936247094,0.172,0.026,8.30348212886268e-12,"TMEM243","Progenitor"
"SOX21-AS1",4.23734799495864e-16,3.98828071726989,0.133,0.006,8.38232180362719e-12,"SOX21-AS1","Progenitor"
"PRC1",4.29195467431117e-16,1.60392748901966,0.298,0.113,8.49034473672235e-12,"PRC1","Progenitor"
"COPZ1",4.32432780169678e-16,0.655470537616447,0.714,0.499,8.55438525731656e-12,"COPZ1","Progenitor"
"HSP90B1",4.35067083243282e-16,0.583479073004679,0.834,0.64,8.6064970407186e-12,"HSP90B1","Progenitor"
"PPIH",4.58314836773653e-16,1.21200855198113,0.331,0.129,9.06638410105639e-12,"PPIH","Progenitor"
"MEGF10",4.64727445378442e-16,2.72011421901247,0.153,0.016,9.19323832447634e-12,"MEGF10","Progenitor"
"DNAJB4",4.64988773680428e-16,2.09289807026788,0.198,0.042,9.19840792094622e-12,"DNAJB4","Progenitor"
"CDC25B",4.793323213033e-16,2.11927827067908,0.192,0.038,9.48215198002189e-12,"CDC25B","Progenitor"
"RAB32",4.79638313475833e-16,4.48748061264773,0.132,0.006,9.48820511717892e-12,"RAB32","Progenitor"
"SERBP1",4.85327660251689e-16,0.435410827975821,0.925,0.817,9.6007517750989e-12,"SERBP1","Not Significant"
"DKK3",4.89786165221458e-16,1.18236703452779,0.44,0.229,9.68894992041087e-12,"DKK3","Progenitor"
"EIF4A1",4.96244873859424e-16,-0.447866843389681,0.884,0.918,9.81671609468713e-12,"EIF4A1","Not Significant"
"EPHA5",5.19308631778264e-16,-1.96666871990689,0.078,0.207,1.02729633538376e-11,"EPHA5","IP"
"SYT14",5.19365761740801e-16,-2.00880924902221,0.05,0.165,1.02740934987565e-11,"SYT14","IP"
"LAPTM4B",5.25199151045086e-16,0.617000532334787,0.706,0.481,1.03894896059739e-11,"LAPTM4B","Progenitor"
"NCAPG",5.44572706491524e-16,2.56591195048605,0.167,0.024,1.07727372798153e-11,"NCAPG","Progenitor"
"COL11A1",5.50231574765133e-16,1.6161311435653,0.226,0.058,1.08846810120039e-11,"COL11A1","Progenitor"
"ZNF821",5.59283448907167e-16,-1.26718180595241,0.277,0.427,1.10637451862816e-11,"ZNF821","IP"
"CAMK2N1",5.92710685128791e-16,-1.29983309216056,0.272,0.425,1.17250027732177e-11,"CAMK2N1","IP"
"TMEM38B",6.14731588801593e-16,1.78819469346856,0.27,0.087,1.21606202896731e-11,"TMEM38B","Progenitor"
"LINC00599",6.44595403554802e-16,-2.44301117918882,0.017,0.101,1.27513862731211e-11,"LINC00599","IP"
"SNX17",6.46673033554043e-16,0.998024623097903,0.374,0.157,1.27924859497661e-11,"SNX17","Progenitor"
"LRRC7",6.59417268506661e-16,-2.56950120560931,0.041,0.147,1.30445924055988e-11,"LRRC7","IP"
"DNAJC1",6.85436040610896e-16,1.00665311872457,0.427,0.211,1.35592957553647e-11,"DNAJC1","Progenitor"
"CTDSP1",6.88875311680825e-16,2.60835119799718,0.153,0.016,1.36273314156701e-11,"CTDSP1","Progenitor"
"AES",6.94360936819692e-16,-0.932617611954204,0.448,0.577,1.37358480521671e-11,"AES","IP"
"CAP2",7.3035861327045e-16,-1.67373440404611,0.216,0.362,1.44479540877161e-11,"CAP2","IP"
"PSPH",7.33385234277936e-16,1.26143599295008,0.281,0.093,1.45078267044861e-11,"PSPH","Progenitor"
"MIEN1",7.82051332758963e-16,-1.01435675514555,0.386,0.513,1.54705394646378e-11,"MIEN1","IP"
"GABARAPL2",8.05881980601279e-16,-0.454730723684988,0.874,0.905,1.59419573402545e-11,"GABARAPL2","Not Significant"
"LDB2",8.09853534964092e-16,2.18351130585435,0.17,0.026,1.60205226286597e-11,"LDB2","Progenitor"
"TCF7L1",8.19544492912472e-16,2.29305810468493,0.176,0.03,1.62122291587945e-11,"TCF7L1","Progenitor"
"ENAH",9.67875483322817e-16,-0.696894141600986,0.668,0.746,1.9146512811092e-11,"ENAH","IP"
"EIF2AK2",1.01416197060682e-15,0.87819643884393,0.416,0.193,2.00621521025442e-11,"EIF2AK2","Progenitor"
"TFG",1.14501375024653e-15,0.723912605888202,0.625,0.382,2.26506620073769e-11,"TFG","Progenitor"
"ALKBH2",1.23643467221954e-15,1.21631572187991,0.299,0.107,2.4459150685847e-11,"ALKBH2","Progenitor"
"TMEM256",1.23868604819187e-15,0.646542047278466,0.613,0.362,2.45036874053316e-11,"TMEM256","Progenitor"
"UNC50",1.26680397321568e-15,0.996518916931218,0.403,0.187,2.50599161981525e-11,"UNC50","Progenitor"
"TM7SF3",1.2871379427288e-15,1.04010752209248,0.402,0.189,2.54621627830612e-11,"TM7SF3","Progenitor"
"LRR1",1.34348653415546e-15,1.96888690596783,0.195,0.042,2.65768506186634e-11,"LRR1","Progenitor"
"ACAA2",1.39310279028187e-15,0.980366063724445,0.413,0.193,2.75583593973559e-11,"ACAA2","Progenitor"
"COX14",1.53496776014424e-15,0.937627356869267,0.401,0.183,3.03647322311733e-11,"COX14","Progenitor"
"POLE2",1.54215032429005e-15,2.98654767758602,0.138,0.01,3.05068177151058e-11,"POLE2","Progenitor"
"GFOD2",1.57547890467327e-15,-1.53331209948843,0.186,0.332,3.11661236922467e-11,"GFOD2","IP"
"NCAPH",1.8134875137665e-15,4.95557829274565,0.124,0.004,3.5874409997329e-11,"NCAPH","Progenitor"
"SDC2",1.83967772688026e-15,1.1289999186624,0.27,0.087,3.63925047931452e-11,"SDC2","Progenitor"
"TPBG",1.89530323891867e-15,2.56850147916539,0.177,0.034,3.74928886722891e-11,"TPBG","Progenitor"
"ERC2",1.91519968670557e-15,-2.95651481641671,0.023,0.111,3.78864802024097e-11,"ERC2","IP"
"MYO10",1.91798863391981e-15,0.673097204724278,0.489,0.247,3.79416511562018e-11,"MYO10","Progenitor"
"PHACTR3",1.92775706243984e-15,-2.9013309740101,0.03,0.125,3.8134890209185e-11,"PHACTR3","IP"
"KIF5B",1.98876497504024e-15,-0.398387667562618,0.909,0.922,3.93417487362459e-11,"KIF5B","Not Significant"
"IL33",2.01835214111939e-15,4.91826873664597,0.12,0.002,3.99270420556238e-11,"IL33","Progenitor"
"WDR47",2.0733387919083e-15,-1.66633638456114,0.132,0.274,4.10147879815301e-11,"WDR47","IP"
"SRI",2.0815537148113e-15,0.584925709952737,0.809,0.62,4.1177295586397e-11,"SRI","Progenitor"
"ARG2",2.10081770693305e-15,-2.11734060225543,0.086,0.211,4.15583758785495e-11,"ARG2","IP"
"NKAIN3",2.25562275476254e-15,0.973455634022611,0.456,0.231,4.46207293347125e-11,"NKAIN3","Progenitor"
"ANKRD9",2.26240475519247e-15,3.02341343696704,0.147,0.016,4.47548908672174e-11,"ANKRD9","Progenitor"
"POLR1D",2.29944011098474e-15,-0.612302256289745,0.7,0.746,4.54875242755001e-11,"POLR1D","IP"
"MMS22L",2.32331038611308e-15,1.6591122374731,0.223,0.06,4.59597260580889e-11,"MMS22L","Progenitor"
"POLA2",2.32800592189064e-15,3.44872101090413,0.132,0.008,4.60526131468407e-11,"POLA2","Progenitor"
"SEPP1",2.3594050279034e-15,3.47905550806537,0.135,0.01,4.66737502619851e-11,"SEPP1","Progenitor"
"PARP6",2.81991250846425e-15,-1.89025715609822,0.096,0.227,5.57835092424398e-11,"PARP6","IP"
"PDLIM2",2.84969505188761e-15,1.84098805782956,0.205,0.05,5.63726675164407e-11,"PDLIM2","Progenitor"
"CERS6",2.90599984692795e-15,-1.50807961082268,0.206,0.348,5.74864889719286e-11,"CERS6","IP"
"GLTP",2.96273408203749e-15,1.00348807974496,0.34,0.141,5.86088056108657e-11,"GLTP","Progenitor"
"PXN-AS1",3.02211370825389e-15,1.66587805598628,0.193,0.042,5.97834533766785e-11,"PXN-AS1","Progenitor"
"EIF2S2",3.08958746953467e-15,0.598922250336901,0.718,0.481,6.11182193223349e-11,"EIF2S2","Progenitor"
"MAT2B",3.09216894388307e-15,1.16586040705852,0.299,0.111,6.11692860478948e-11,"MAT2B","Progenitor"
"RP11-620J15.3",3.21452705403966e-15,1.10012708946428,0.353,0.151,6.35897741830126e-11,"RP11-620J15.3","Progenitor"
"CHEK2",3.35679291592875e-15,6.17348721240392,0.114,0,6.64040774629026e-11,"CHEK2","Progenitor"
"TOMM7",3.39513415431375e-15,0.408582084089951,0.937,0.843,6.71625438406345e-11,"TOMM7","Not Significant"
"RSF1",3.43837342288856e-15,-0.640254935530286,0.755,0.777,6.80179030515815e-11,"RSF1","IP"
"SMARCC1",3.60984428190337e-15,-0.68795440196201,0.615,0.698,7.14099395846125e-11,"SMARCC1","IP"
"LAMP5",3.61482322653715e-15,4.37404552360711,0.133,0.01,7.15084330673578e-11,"LAMP5","Progenitor"
"USP3",3.90474993226316e-15,-1.13913557267906,0.339,0.473,7.72437631600299e-11,"USP3","IP"
"CCNE2",3.92271452565699e-15,4.27226515107868,0.129,0.008,7.75991387465467e-11,"CCNE2","Progenitor"
"MMP15",3.92329461717468e-15,1.49336564062111,0.273,0.097,7.76106141169496e-11,"MMP15","Progenitor"
"FBXO17",4.04853551142185e-15,1.55030287481653,0.227,0.064,8.0088129486947e-11,"FBXO17","Progenitor"
"SUB1",4.15996192867904e-15,-0.41119828331804,0.92,0.915,8.22923668731288e-11,"SUB1","Not Significant"
"LSM6",4.24715982403348e-15,0.742552275478679,0.518,0.276,8.40173156390302e-11,"LSM6","Progenitor"
"ATRX",4.31964665001306e-15,-0.706899967149906,0.728,0.761,8.54512500305583e-11,"ATRX","IP"
"PPA2",4.35935823994792e-15,0.803918557393553,0.505,0.266,8.62368247026498e-11,"PPA2","Progenitor"
"DONSON",4.36246121057729e-15,1.97359426431503,0.194,0.044,8.629820766764e-11,"DONSON","Progenitor"
"SEC11A",4.47308858437085e-15,0.567239730343795,0.76,0.541,8.84866383760242e-11,"SEC11A","Progenitor"
"PIGX",4.47504356908667e-15,0.82177831646687,0.43,0.209,8.85253118836726e-11,"PIGX","Progenitor"
"ANKRD29",4.51407189127731e-15,3.21724940623522,0.147,0.018,8.92973701532477e-11,"ANKRD29","Progenitor"
"METTL21A",4.56839844913802e-15,1.04800864834404,0.364,0.161,9.03720581208483e-11,"METTL21A","Progenitor"
"DIAPH3",4.90648949107287e-15,2.96365654756867,0.138,0.012,9.70601751124035e-11,"DIAPH3","Progenitor"
"CENPE",5.30559330275054e-15,2.42141688232145,0.158,0.024,1.04955246715011e-10,"CENPE","Progenitor"
"PALM",5.43334977740073e-15,-1.19347861200192,0.362,0.479,1.07482525296541e-10,"PALM","IP"
"COQ2",5.64283795039566e-15,2.31090018571401,0.17,0.03,1.11626620334727e-10,"COQ2","Progenitor"
"UBL3",5.98150482182598e-15,0.944219069365456,0.451,0.231,1.18326128385361e-10,"UBL3","Progenitor"
"NAPEPLD",6.02072384272476e-15,2.00643419055605,0.19,0.042,1.19101959056781e-10,"NAPEPLD","Progenitor"
"TRIP13",6.02082471638477e-15,2.89964446060693,0.143,0.016,1.19103954539524e-10,"TRIP13","Progenitor"
"LINC00116",6.32365878935611e-15,2.08579357440333,0.174,0.032,1.25094618171042e-10,"LINC00116","Progenitor"
"MPP3",6.3284558311915e-15,-2.09837849958562,0.051,0.161,1.2518951325263e-10,"MPP3","IP"
