"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significant"
"TSPAN2",0.185998536259365,-0.581974083789602,0.095,0.103,1,"TSPAN2","Not Significant"
"POMGNT2",0.188030870769934,-0.553218217015885,0.138,0.143,1,"POMGNT2","Not Significant"
"TMEM63B",0.188740258869875,-0.576312758380445,0.113,0.121,1,"TMEM63B","Not Significant"
"TMX4",0.189455332656808,-0.466242179161517,0.167,0.172,1,"TMX4","Not Significant"
"TPD52L2",0.189709041810261,-0.286371967205643,0.223,0.188,1,"TPD52L2","Not Significant"
"DAPK3",0.190323575313526,-0.316310073558858,0.19,0.16,1,"DAPK3","Not Significant"
"ANAPC13",0.190625611790215,-0.282077956567247,0.515,0.452,1,"ANAPC13","Not Significant"
"SLAIN2",0.19096029952277,-0.251839261901066,0.176,0.151,1,"SLAIN2","Not Significant"
"SRSF8",0.193886943804419,-0.314343263849953,0.336,0.318,1,"SRSF8","Not Significant"
"SMARCA2",0.194009306581924,-0.364054462665107,0.123,0.132,1,"SMARCA2","Not Significant"
"ORC4",0.194459964213294,-0.30860176152451,0.433,0.391,1,"ORC4","Not Significant"
"LPGAT1",0.196931556214399,-0.519403578823797,0.135,0.141,1,"LPGAT1","Not Significant"
"IRF2BPL",0.196958517977045,-0.325510379953251,0.357,0.339,1,"IRF2BPL","Not Significant"
"NR2C1",0.197275572650697,-0.288928398249448,0.104,0.089,1,"NR2C1","Not Significant"
"RNF40",0.198241081108735,-0.354946463740778,0.131,0.111,1,"RNF40","Not Significant"
"AP4M1",0.2002178361089,-0.562474333460344,0.15,0.153,1,"AP4M1","Not Significant"
"ATF2",0.200399406788131,-0.270731889378031,0.166,0.142,1,"ATF2","Not Significant"
"SNRK",0.200426285508841,-0.268489672648119,0.143,0.122,1,"SNRK","Not Significant"
"RNF113A",0.200669694801887,-0.317251253943894,0.153,0.131,1,"RNF113A","Not Significant"
"COMMD5",0.200679309438364,-0.326033916757952,0.134,0.114,1,"COMMD5","Not Significant"
"PXDN",0.201234051743637,-0.255257351309341,0.129,0.111,1,"PXDN","Not Significant"
"KDM5C",0.201561382164988,-0.323355357578242,0.149,0.128,1,"KDM5C","Not Significant"
"NUDT10",0.202787766238297,-0.608769685137748,0.133,0.137,1,"NUDT10","Not Significant"
"TADA1",0.203094836404731,-0.309451573131858,0.103,0.088,1,"TADA1","Not Significant"
"CDC42BPB",0.203228215132057,-0.537777641667052,0.128,0.134,1,"CDC42BPB","Not Significant"
"CAMK1D",0.204429534506057,-0.363879299697206,0.321,0.304,1,"CAMK1D","Not Significant"
"SART1",0.20488747998334,-0.260729590159727,0.2,0.17,1,"SART1","Not Significant"
"WDR77",0.205099540223216,-0.296597880781098,0.168,0.143,1,"WDR77","Not Significant"
"MESDC1",0.205691276279944,-0.643366556459067,0.1,0.106,1,"MESDC1","Not Significant"
"CALCOCO1",0.205699304287289,-0.48606946960776,0.154,0.158,1,"CALCOCO1","Not Significant"
"DPP3",0.205981078121104,-0.284564121174917,0.13,0.112,1,"DPP3","Not Significant"
"EMSY",0.208105805335501,-0.328639369507842,0.119,0.102,1,"EMSY","Not Significant"
"MORN4",0.208460680776823,-0.548026356251595,0.104,0.112,1,"MORN4","Not Significant"
"WDR13",0.209331168985078,-0.423971459612027,0.344,0.317,1,"WDR13","Not Significant"
"C7orf26",0.211934035312313,-0.288763913989464,0.179,0.153,1,"C7orf26","Not Significant"
"VPS45",0.211989808403677,-0.552537864752112,0.153,0.156,1,"VPS45","Not Significant"
"MXD4",0.213765708374037,-0.437143824648398,0.181,0.182,1,"MXD4","Not Significant"
